,Tweet,Sentiment,Score
0,#DonaldTrump did the math for the #Qatar #WC2022 bid.,neutral,0
1,RT @ArturOhneH: What is #DonaldTrump's favorite nation??? - The discrimination.,positive,0.0241184
2,"RT @VickyBrush: With all my heart, I love &amp; care about my family &amp; their children. This is why I will be voting for #DonaldTrump as #POTUS.…",positive,0.14586
3,"RT @JohnRMoffitt: #2016Election #DonaldTrump #antisemitism Actually seen and photographed at the County fair in Bloomsburg, Pennsylvania. I…",neutral,0
4,"RT @JohnRMoffitt: #2016Election #DonaldTrump #antisemitism Remember what Germany ended up looking like after implementing their ""Make Germa…",positive,0.218043
5,The latest The Alexander Dal Farra Daily! https://t.co/YZNesMNcuq Thanks to @petewarden @markwaber @Mpolzin #donaldtrump #miahilton,positive,0.452949
6,RT @bfraser747: 💥💥 WAKE UP AMERICA I'm far more concerned about #HillaryClinton ACTIONS than what #DonaldTrump may have said. NEVER #Hil…,negative,-0.45972
7,"RT @JohnRMoffitt: #2016Election #DonaldTrump #antisemitism Actually seen and photographed at the County fair in Bloomsburg, Pennsylvania. I…",neutral,0
8,"#HillaryClinton, #DonaldTrump move to show medical fitness for #WhiteHouse - The... https://t.co/8VU79kwqS4 https://t.co/AxgCgfA77i",positive,0.294609
9,"I love this Joke! 󾌧 #HillaryClinton and #DonaldTrump go into a bakery shop. As soon as they enter the bakery,... https://t.co/dGMSD40ADA",neutral,0
10,#Designtools #design #tools Inside the #election video game that was built to defeat Donald Trump: https://t.co/su2UOurpoE #DonaldTrump #…,positive,0.294444
11,Stop Voting Republican @realDonaldTrump #DonaldTrump @FoxNews #imwithyou #Foxnews #BlackTwitter… https://t.co/cn0cUqfA68,neutral,0
12,"RT @amjoyshow: #reiders-RETWEET if you are shocked that so many religious, conservative voters still support #DonaldTrump https://t.co/Y16E…",positive,0.25711
13,"MUST SEE #DONALDTRUMP! ""THE CLINTONS ARE CRIMINALS! REMEMBER THAT! THEY""RE CRIMINALS!""... https://t.co/SqHP0aZ7Mi https://t.co/ylxuleLchY",negative,-0.47248
14,"RT @JohnRMoffitt: #2016Election #DonaldTrump #antisemitism Actually seen and photographed at the County fair in Bloomsburg, Pennsylvania. I…",neutral,0
15,"RT @ImChaunce: #DonaldTrump says so many unnecessary things, but he 4gets he's the only adolescent teen who's rigged his own election/campa…",negative,-0.782566
16,RT @rafshmatko: I decided to give my preference to #DonaldTrump #RealDonaldTrump #TrumpVote #Trump #USA https://t.co/8pGGPf12We,positive,0.82381
17,Inside the election video game that was built to defeat Donald Trump: https://t.co/uEwNW2gzDB #DonaldTrump #NeverTrump,negative,-0.313343
18,*Please RT* Must Knows About Donald Trump: https://t.co/XLULHn7UBQ #DonaldTrump #Trump #StopTrump #NeverTrump *Please RT*,negative,-0.306912
19,RT @SirJadejaaaa: BREAKING: India US To Be Best Friends If I Am Elected President - Donald Trump. RT If You Support #DonaldTrump LIKE For…,positive,0.625271
